Region,Under implementation and fully funded,Under implementation and not fully funded,Not implementing,Information not available
Small island developing States (SIDS),8,10,14,21
Landlocked developing countries (LLDCs),10,15,6,1
Least Developed Countries (LDCs),7,26,9,6
Australia and New Zealand,1,1,0,4
Oceania (exc. Australia and New Zealand),2,3,6,12
Sub-Saharan Africa,12,26,7,8
Northern Africa and Western Asia,15,3,3,4
Eastern and South-Eastern Asia,11,6,0,1
Central and Southern Asia,6,6,2,0
Latin America and the Caribbean,14,7,14,16
Europe and Northern America,39,4,0,14
